financial_distress_flag,purpose_clarity,income_stability_mention,repayment_confidence,overall_sentiment,loan_idx,default_flag,grade,desc_clean
1,5,0,5,positive,77,0,A,i would like to payoff a second mortgage with a balance of 19 100 the second mortgage was for 20 000 for 25 years 10 69 as you can see only 900 00 came off the principle by freeing up this second mortgage i will be able to refinance my 1st mortgage since i will have a loan to value ratio greater than 20 thank you
0,1,0,1,neutral,78,0,D,its for a lawyers fee
1,4,0,5,negative,79,0,A,i would like to consolidate 2 credit card balances which i have been carrying for a while and pay them off while saving on interest this will also free up some income for living expenses
0,2,0,2,neutral,80,0,B,pay off credit cards and fix up bathroom
1,5,0,1,negative,81,0,B,planning on using this loan to pay off a credit card with a very high interest rate
1,5,0,1,negative,82,0,B,i would like to pay off all my credit cards with higher than 15 percent apr
1,1,0,1,negative,83,0,B,to pay off high interest credit card accounts
1,1,0,1,negative,84,0,B,loan proceeds will be used to pay off credit card debt tell your story what is your loan for
1,5,0,5,negative,85,0,C,this loan will be used to payoff debt and allow me to start living off cash and not credit cards
1,1,0,1,negative,86,1,B,these monies are to be used to consolidate credit card debt incurred from a trip to the uk i scratched that off my bucket list but there are many more things on it i appreciate your offer to assist me in my endeavors
0,1,0,1,neutral,87,1,C,request needed to pay for addition to current home
0,5,0,5,neutral,88,0,A,loan for small home improvement project
1,5,0,1,negative,89,0,B,money will be used to pay off credit card debt and outstanding medical bills
1,5,0,5,negative,90,0,A,consolidated debt will allow me to pay off a series of medical bills accrued in the past two years
0,1,0,1,neutral,91,1,B,adding a 2nd bathroom
1,5,1,5,positive,92,1,B,debt consolidation i will use this loan to pay off a credit card with a high interest rate i have been making extra payments for quite some time the balance just never seems to go down i feel i am very credit worthy i have been at my current job for over 15 years have full benefits thank you for investing
0,1,0,1,neutral,93,0,B,pay off credit cards
0,1,0,1,neutral,94,1,B,trying to take care of some much needed repairs and upgrades in my home
0,5,0,5,positive,95,0,E,this loan is to consolidate three revolving credit card accounts that have a higher apr my goal is to consolidate this debt into a fixed payment loan i am in good standing with all my accounts
1,5,0,5,neutral,96,0,D,i am using this loan to consolidate and pay off credit card bills this term will average a better interest rate
0,1,0,1,neutral,97,0,C,debt consolidation at a lower rate
1,5,0,5,negative,98,1,D,i need a 1500 loan to consolidate my bills to make affordable payments i want a 7 month repayment plan
1,5,0,5,negative,99,1,F,i would like to consolidate the following car loan payoff 5550 58 monthly paymnet is 402 00 personal loan payoff 7903 60 monthly payment is 7903 60 2 nd bank loan payoff 1373 00 monthly payment is 256 00 remaining balance i will use for car repairs
1,1,0,1,negative,100,0,E,recent unexpected death of my father in law caused major charges on credit cards in order to give him a proper burial
1,5,0,5,negative,101,0,A,this loan will help my family pay off our credit cards and have all our debt paid off in 3 years thank you
0,5,1,5,positive,102,0,B,never late never missed a payment working to finish home improvent and remodeling thank you never late never missed a payment working to complete home remodeling and improvemnt than you
1,1,0,1,negative,103,0,B,consolidate a few of my outstanding debts
0,1,0,1,neutral,104,1,E,pay off credit cards
1,1,0,1,negative,105,1,C,i am using this money to pay off credit cards that i currently have
0,5,0,5,neutral,106,0,A,debt consolidation in order to lower interest payments and payoff time
1,5,1,5,negative,107,0,B,i am looking to refinance a personal line of credit that was closed without warning by a large bank during the credit crunch i work in the finance industry with a stable significant income and reliable payment patterns on all my personal debt and monthly financial obligations
0,1,0,1,negative,108,0,B,pay old truck 1987 blazer
0,5,1,5,positive,109,0,D,fund spent to increase value of new condo apartment always had credit score over 700 never have defaulted on any debt no bad credit history whatsoever dentist for more than five years 9000 10000 income month
1,2,0,2,negative,110,0,A,we made many repairs to our home and now we need to consolidate all of our debts
1,1,0,1,negative,111,0,B,pay off creditors who do not deal with credit null
0,5,1,5,positive,112,0,A,i will use this loan to pay off existing loans that have a high interest rate i always make my payments on time i have been at the same job for 15 years
1,1,0,1,negative,113,1,E,unexpected tax bill from 2012
1,5,0,5,negative,114,0,B,to pay off higher rate credit cards more quickly to achieve my goal of becoming debt free in 5 years or less
1,3,0,2,negative,115,0,D,pay off a personal loan with a bank and 3credit cards i am also trying to lower my monthly payments
1,3,0,2,negative,116,0,C,using the loan to pay off credit cards and hopefully be in a better position when i start school in fall of 2014
1,5,0,5,negative,117,0,A,consolidation of higher rate card s and god willing one year closer to zero debt outside of my mortgage
1,5,0,5,positive,118,1,E,i am asking for this loan so i can consolidate my debt make needed repairs on my house before i sell it and take my family on a small vacation while moving to my next base
1,5,0,5,negative,119,0,B,i want to pay off my credit card thats is at a higher interest rate
0,5,1,5,positive,120,0,A,this loan will help me pay some bills and purchase new career attire i have been establishing credit worthiness for over eight years i faithfully pay my bills on time every month my work supervisor gave me good ratings in my evaluation and i just got a pay raise i have a steady full time job for four years now and my services are much needed at this position
1,5,0,5,positive,121,0,B,the loan will pay off credit card balances this isn t an increase in debt but a way for to get out of debt quickly our new payments will be lower than current cc payments the investors will get more interest than banks are paying a win for everyone
0,3,0,3,neutral,122,0,C,i d like to consolidate my credit card balances and reduce my monthly interest charges
1,1,0,1,negative,123,1,E,to pay off bills and credit cards
0,5,0,5,positive,124,0,C,loan is being used for debt with higher interest debt has always been paid monthly on time it was time to find a better interest rate
1,5,0,5,negative,125,0,C,this loan will allow me to consolidate several of my higher interest rate credit card balances into one monthly payment that i can eliminate in three years
0,1,0,1,neutral,126,0,A,i am wanting to send my daughter whos in college to teachers camp
1,5,1,5,positive,127,0,C,looking to consolidate my credit card debt at a consistant rate i would also like to add that my revolving debt was mainly accrued over 7 years from my college tuition not purchases i worked full time and went in the evenings so i didn t qualify for financial aid
1,1,0,1,negative,128,0,B,personal debt tell your story what is your loan for
1,5,0,5,negative,129,0,B,i would like to pay off all debt including an old hospital bill that i have been paying on i want to leave one card open for emergencies only my goal is to pay that card down and to pay loan off in 2 years
0,5,0,5,positive,130,0,B,i recently inherited the property no mortgage patio stairs and sidewalk are in poor condition need to refurbish those parts as well pointing parts of the masonry and also some cosmetic work on the interior 2 family house i occupy the first floor and have a tenant on the 2nd this will be used to make repairs to the sidewalk patio stairs facade and other minor cosmetic interior renovations for my residence which i recently inherited home is a 2 family i reside on the ground with a tenant living upstairs
0,1,1,1,neutral,131,0,A,i have never been late on any payments very stable employment
0,2,0,2,neutral,132,0,D,debt consolidation with minor home repairs
1,5,0,5,negative,133,0,A,paying my way through college on credit cards was my only option now as a graduate with a bachelor s degree this loan will help me get back on track as i repay my debt at a reasonable rate
1,5,0,5,negative,134,0,E,would be paying off 5 out of the 6 cards i have this way i will have two monthly payments instead of 6
1,1,0,1,negative,135,0,B,horrible sears credit card interest rate 25 24
1,5,0,5,negative,136,0,D,i will pay off my credit card debt with this loan
0,5,0,5,positive,137,0,C,my father recently passed and he and my mother were planning on putting new carpet and tiles in their home i want to have it done as a suprise for my mother
1,5,0,5,negative,138,0,C,i m looking to decrease my debt in order to complete my healthcare information technology certificate program in order to advance at work the program is not eligible for student loans or grants so i ve been saving to continue this education process i m looking to decrease my debt in order to complete my healthcare information technology certificate program in order to advance at work the program is not eligible for student loans or grants so i ve been saving to continue this education process
0,5,1,5,positive,139,1,A,i have always been a responsible borrower no late payments no defaults no deliquencies the reason for this loan is debt consolodation with this loan i will actually reduce my current debt payments by 65 paying off all my other short term revolving debt i have a stable income and career in a fortune 500 company and have been working there for 3 years receiving 2 promotions since being hired
1,5,0,5,positive,140,0,B,loan will be used for consolidating credit card debt and to pay off a portion of student loan debt the reason for also paying off student loan debt is i will then qualify for a student loan forgiveness program allowing me to further lowering my debt
1,5,1,5,positive,141,0,C,this loan will be used to pay off about 12k in higher interest credit cards and to pay about 3500 in overdue medical bills the extra 3k is intended to be left in a savings account thank you for considering this investment from my answer below the payments listed are minimum payments but i actually pay more i have been paying around 800 to 1300 per month towards these credit cards so without that debt i will easily be able to handle the payments for this loan
1,5,0,1,negative,142,0,C,i would like to consolidate credit cards high interest student loan s medical bills into one easy payment
1,5,1,5,negative,143,0,C,i have two really high interest credit cards that i need to bring down and consolidate a few medical interactions for my wife really brought me deeper into debt than i anticipated i work a solid job at a non profit world class music institute as their database administrator my work is intrumental and i m often lauded by our executive team our budget is pretty spartan while trying to pay off these debts and while we were managing the interest is getting to be too much and i can t maintain it without skipping some necessary expenses
0,5,0,5,positive,144,0,A,to whom it may concern i would like to purchase a small dump truck for cleaning and removal of small debris around my property your company has offered a fair interest rate and the payments are more than manageable thanks
1,5,0,5,negative,145,0,B,i slowly accumulated a lot of credit card debt over the past 9 years a great deal of it was due to the compounding nature of interest at a high interest rate rather than purchases i m working hard to pay off the debt quickly
1,1,0,1,negative,146,0,A,to pay off 3 credit cards one with very high rate
1,5,0,5,positive,147,0,D,this loan is to pay off and eliminate unwanted credit accounts and consolidate my debt my goal is to cancel several of the accounts and only keep two or three in order to build and maintain my credit this will be the fresh start that i desperately need this loan will be to consolidate and eliminate my credit card dept my long term goal is to eliminate unneeded credit accounts and only maintain two or three credit accounts in order to build my credit so i may buy a house in the near future i will be paying this loan off as quickly as possible
1,5,1,5,positive,148,0,F,using to pay off credit cards and repair car after hit and run accident job is very stable been with the company for 4 years would really like to pay off my credit cards and have one bill i work in learning and development i am 100 committed to paying off my debt being able to pay of my debt would give me the opportunity to not live to pay off my debt but be able to save because this money is not coming from a bank but from people who are choosing to invest in me i would pay back the money no matter if it was a bank or people but i feel a deeper need of paying back all of the money i am funded since it is individuals investing in me i have been employed with my employer for 4 years and have been very blessed to work for a retail company that has had success during a tough economy i love my job and feel very lucky to have found a career that i truly love over the last 2 years i have been helping out a family member since she lost her job and has had to take a job that pays considerable less than she was used too i am sure it was very hard for her to ask for help and since she has supported me a great deal in my life it was the least i could do to help her out i appreciate any consideration thank you please help fund my loan i am looking to consolidate my excising debt into one payment i would love to be debt free 2011 help lift the debt quot weight quot off my shoulders i appreciate any consideration
1,5,0,5,negative,149,0,B,this loan is meant for debt consolidation i have been exploited by a financial institution that i prefer not to mention its name not chase though with erratic fluctuation in apr and need to put an end to it now
1,5,0,5,negative,150,0,B,loan is to payoff high rate credit cards and signature loan
1,5,0,5,positive,151,0,A,i already have a loan with lending club and it has been great i would like to ad 1 last credit card and refi my lending club loan and credit card into 1 new and final loan so i can be debt free
1,5,1,5,positive,152,0,B,hi i m looking for this loan to help consolidate my credit card debt and give it a fixed end date cost and interest amount i want to get out of seemingly arbitrary rate hikes that the bank imposes when i ve never made a late payment gone over my limit or defaulted i have landed my dream job with a steady source of income and was recently promoted at work so i m not going anywhere anytime soon i take my financial obligations very seriously and am really just looking to make managing my finances simpler thanks for you time and consideration
1,5,1,5,positive,153,0,A,i recently was laid off from the better paying of my two jobs and as a result i need some help with paying my federal and state taxes i am currently a doctoral candidate at a state university and i expect to graduate at the end of may my income currently comes from my teaching assistant position the job i lost was in the it field and i am in an area where i expect to be able to work in that field full time at a quite reasonable income upon graduation i have also been applying for academic positions in the field of my doctorate which happens to be saxophone performance i have always had excellent credit since 1996 the year i opened a credit card for the first time before i moved where i am now to get my doctorate i had a home mortgage for which i kept up my end of the payments without being late i do anticipate additional income that will let me get this loan paid and if all else fails i will have unemployment compensation for a time once my teaching assistant job ends my tax bill is as high as it is in large part due to some issues with the employer that laid me off this loan will help me get back on my feet and finish school with a more reasonable financial outlook than other ways i could try to get this loan credit cards etc thank you for your reading and i hope that assisting me will be beneficial for you
1,1,0,1,neutral,154,0,B,to pay off several bills in order to free up other finances
1,5,0,5,negative,155,1,C,my loan is to pay for high interest credit card my credit is important and this would be the best plan to pay all now and save money without paying hight interest on credit cards payments
0,5,1,5,positive,156,0,B,getting married in the next 6 months just looking for a little extra cushion for wedding expenses just incase we go over budget i own two local insurance agencies in the atlanta area and will have no problem making the loan payment thank you for your consideration
1,1,0,1,neutral,157,0,B,paying off high credit card debt and beginning to prepare for my future
0,1,0,1,neutral,158,0,B,i want to buy a long arm quilting machine
0,5,1,5,positive,159,1,E,i plan to use the funds to payoff all cc to consolidate the total in one loan i have a good credit score and a good history paying my obligations i have a stable job feel free to ask any other question you may have thanks
1,5,0,1,negative,160,0,C,i want to lower my current credit card debt so i can actually start saving for my future
1,5,0,5,negative,161,0,B,hello like many people these days we had a series of events that sent us on a downward spiral financially a bad accountant caused us to lose much of our savings to back taxes fees and interest husband was out of work for six months and then a major illness all within two years we were careful enough with our money that we didn t have financial catastrophe but it did create some debt which we want to re finance at the lowest rate possible we sold our house and scaled down to help our situation but it was too recent for an equity line or loan we pay all of our bills on time primarily through automatic billpay and plan on retiring a couple cards once they are paid off thanks for putting your money to work in small ways ska
0,1,0,1,neutral,162,0,C,i am looking to purchase a used vehicle between 4500 to 5000 for my household to be able to use
1,5,1,5,negative,163,0,C,we are trying to remodel our home to create more living space right now it s getting cluttered quickly because the rooms are already small and totally lacks closet space everywhere both hubby and i have steady jobs we should be able to repay this loan real soon the timing of the loan mattered to us which is why we couldn t wait for the whole nine yard bank procedures to be completed for a 15k loan thanks for helping us out guys you rock we work in the information technology field as analysts ideally we d like to have the full amount to get started on this project by the month end project costs about 40k but we are short about 15k actually so we are totally counting on getting this 11 500 funded in the next couple weeks unless people pitch in our project sadly might not take off thank you my employment states i have been employed less than 1 year because i joined this company only a few months back until then i was employed elsewhere no delinquencies never any late payments either
1,5,0,5,negative,164,1,A,i want my credit card debt gone i ve even cut two cards too pieces please help me consolidate and kill this debt for good by having one easy payment
1,5,0,5,positive,165,0,C,i am planning to consolidate high interest credit cards into one lower payment so i may pay extra on student loans and my home loan all in an attempt to live debt free as soon as possible i feel i must include that i am closing all credit card accounts except one once i have these paid off the one i am keeping open is for emergencies only but i ll ask for the credit limit to be lowered this is to assure that i do not repeat and double my debt thanks for your consideration
0,1,0,1,neutral,166,0,B,debt consolidation loan very easy application process
1,3,0,2,negative,167,0,D,credit card payments seem to have no end i am looking to consolidate credit card debt handle some upcoming dental expenses and be debt free in five years except for mortgage and car note
0,1,0,1,neutral,168,0,A,credit card consolidation
1,5,0,5,negative,169,0,A,this will eliminate my credit card debt
1,5,0,5,negative,170,0,E,consolidate all my credit cards i have made upgrades to my house and used my credit cards now i want to pay them off with one payment
1,1,0,1,negative,171,0,E,gonna pay of my bills
0,1,0,1,neutral,172,0,A,hello this loan is for debt consolidation
1,5,0,5,negative,173,0,C,consolidating debt with higher interest rates with having a plan so it s paid off within 5 years
0,1,0,1,neutral,174,1,F,kitchen bathroom improvements
1,5,0,5,negative,175,0,E,i like to get rid of some credit card debt and pay off some credit cards with 0 percent because the introductory period is coming due i like to have one bill instead of multiple bills
1,1,0,1,negative,176,0,A,to pay off high interest rate credit card
1,5,0,5,negative,177,0,B,looking to improve credit by paying down debt and converting credit card debt to installment debt
1,5,0,5,negative,178,1,C,used credit as seed money for small buisness that making money but would like to lower monthly payback for more working capitol
0,5,1,5,positive,179,0,C,i plan to use this money to consolodate 3 smaller debts with very high interest rates i have a great payment history and my accounts are all in good standing my employment is stable i ve been with the same job for 3 and 1 2 years and was just promoted my monthly income is good and consolodating my smaller debts with this loan will actually benefit my monthly budget i do have a car payment household bills and a student loan however i do not have rent or a mortgage i plan to use these funds to consolodate three smaller debts with very high interest rates i have a great payment history and all my accounts are in good standing my monthly budget is sufficient to make this payment and this loan will acutally benefit my monthly budget my employment is stable i have been in my current job for 3 and 1 2 years and have recently been promoted
1,1,0,1,negative,180,0,A,i need to pay off my high interest credit cards
1,5,1,5,positive,181,0,C,i am working on getting my bills under control to establish a better credit score i make good money and need to be able to build up savings to pay cash on any purchases in the future
1,5,0,5,negative,182,0,F,this loan is to once and for all pay off credit card debt and installment loans i currently have and consolidate into one payment
1,5,0,5,negative,183,1,D,we are tired of the never ending battle of trying to pay off our high interest credit cards we need this loan in order to improve our financial situation the credit cards will be destroyed as soon as we pay them off
0,1,0,1,neutral,184,0,D,just want to pay off a few credit cards
1,5,0,5,positive,185,0,C,i am applying for this loan so i can pay off my credit cards after buying my house and supporting myself during good times and bad i have had to rely on some credit now i am in a position where i am wanting to be rid of my bad debt and get back to normal thank you
1,5,0,1,negative,186,0,A,trying to consoliate paydown high interest credit cards
1,5,1,5,positive,187,0,C,i am a middle school special education teacher seeking to consolidate my previous credit card debt as you can see on this web site i have never been late on a payment in my life lending club excites me because the interest rate is three percentage points lower than what i am currently paying and it lets me pay my interest to real people rather than to credit card corporations i am quite happy to provide full disclosure so feel free to ask any questions whatsoever and i will answer them promptly
1,5,0,5,negative,188,1,C,i am redesigning my monthly finial credit payments to reduce the amount of money paid each month in credit card debts this will leave a great amount of money for saving also by doing this will put me in a better position to refinance my vehicle for a lower interest rate
1,5,1,5,positive,189,0,F,hello i am having stable job and income planning to consolidate my debt which i am paying high intrest rates i have good payoff history planning to build foundation for family with savings thanks in advance for reading my listing and i look forward to any further questions appreciate your help
1,1,0,1,negative,190,1,C,pay off some debt and credit cards
1,3,0,2,negative,191,0,C,interested in lowering my monthly debt payment and would like to invest in my business interested in lowering my monthly debt payments and invest in my business
1,4,0,4,negative,192,0,C,i am trying to consolidate my credit card accounts to save on huge interest rates that make it very hard to pay down im also wanting to simplify the bill paying process by having one payment to make
0,5,0,5,positive,193,0,B,i want to consolidate everything in to one payment so that everything is organized and easy thank you for you help
1,5,0,5,negative,194,0,C,this loan will be used to pay off and cancel high interest credit cards
1,5,0,5,negative,195,0,B,payoff existing credit card debt i m currently paying over 375 a month toward high interest credit card debt i just want to get out of debt as quick as i can
0,3,0,3,neutral,196,0,C,my loan is to consolidate all my small bills into on intererst rate and one bill
1,3,0,2,negative,197,0,B,i need the loan to pay off my credit card debts which have high interest rate so i can have less stress and happier
1,5,0,5,negative,198,0,B,this loan will pay off credit cards at an accelerated rate and a reduction of apr this is to pay off 5 credit cards 2 v 2 mc 1 discover total balance 13 717 00 minimum payments total 328 00
1,2,0,1,neutral,199,0,B,consolidate credit card and medical bills
0,1,0,1,neutral,200,0,D,pay off credit cards
1,1,0,1,negative,201,1,B,i want to pay off credit cards debts
1,1,0,1,negative,202,0,B,to pay credit cards need to pay off credits card so making one payment instead of 6
0,5,1,5,positive,203,0,B,this loan will be used to consolidate the outstanding balances on four credit cards i have demonstrate the ability to make payments as agreed upon and on time i have a good credit score ranging from 721 744 as reported by the three credit reporting agencies on august 30 2009 i have been renting the same home since march 2000 i have never missed a rental payment i have a secure job and income stream i have been working for the same company since march 2000 my employer is a fortune 500 company in june 2009 i was promoted to regional director responsible managing the performance of our offices in los angeles san francisco seattle and toronto i have sufficient money in my 401k to collateralize the full amount of the requested loan amount
